image_id,year,class_id,class_name,box_width_px,box_height_px
0005_2015,2015,0,MILCO,20.5,9.5
0005_2015,2015,0,MILCO,24.5,14.999999999999998
0005_2015,2015,1,NOMBO,20.0,28.500000000000004
0005_2015,2015,0,MILCO,9.0,8.0
0006_2015,2015,0,MILCO,15.0,17.0
0006_2015,2015,1,NOMBO,35.0,25.0
0006_2015,2015,1,NOMBO,48.0,19.0
0007_2015,2015,0,MILCO,29.0,19.0
0007_2015,2015,0,MILCO,92.0,26.0
0007_2015,2015,0,MILCO,57.0,28.0
0007_2015,2015,0,MILCO,49.0,26.0
0007_2015,2015,0,MILCO,27.0,22.0
0007_2015,2015,0,MILCO,24.0,31.0
0007_2015,2015,0,MILCO,19.0,16.0
0008_2015,2015,0,MILCO,12.0,7.499999999999999
0008_2015,2015,0,MILCO,37.5,10.5
0008_2015,2015,0,MILCO,23.0,11.5
0008_2015,2015,0,MILCO,20.0,10.5
0008_2015,2015,0,MILCO,11.0,9.0
0008_2015,2015,0,MILCO,10.0,12.5
0008_2015,2015,0,MILCO,7.499999999999999,6.5
0009_2015,2015,1,NOMBO,51.0,28.0
0009_2015,2015,0,MILCO,14.0,21.0
0009_2015,2015,1,NOMBO,51.0,30.0
0009_2015,2015,0,MILCO,49.0,14.0
0009_2015,2015,1,NOMBO,36.0,24.0
0009_2015,2015,0,MILCO,26.0,25.0
0010_2015,2015,1,NOMBO,20.5,11.5
0010_2015,2015,0,MILCO,5.5,8.5
0010_2015,2015,1,NOMBO,20.5,12.0
0010_2015,2015,0,MILCO,20.0,5.5
0010_2015,2015,1,NOMBO,14.5,10.0
0010_2015,2015,0,MILCO,10.5,10.0
0011_2015,2015,0,MILCO,81.0,26.0
0011_2015,2015,0,MILCO,51.0,31.0
0012_2015,2015,0,MILCO,33.0,10.5
0012_2015,2015,0,MILCO,20.5,12.5
0013_2015,2015,0,MILCO,44.0,31.0
0013_2015,2015,1,NOMBO,41.0,64.0
0013_2015,2015,1,NOMBO,109.0,44.0
0013_2015,2015,1,NOMBO,19.0,18.0
0013_2015,2015,1,NOMBO,52.0,42.0
0014_2015,2015,0,MILCO,18.0,12.5
0014_2015,2015,1,NOMBO,16.5,26.0
0014_2015,2015,1,NOMBO,44.5,18.0
0014_2015,2015,1,NOMBO,7.499999999999999,7.499999999999999
0014_2015,2015,1,NOMBO,21.0,17.0
0015_2015,2015,1,NOMBO,51.0,33.0
0015_2015,2015,0,MILCO,62.0,24.0
0015_2015,2015,0,MILCO,49.0,26.0
0016_2015,2015,1,NOMBO,20.5,13.500000000000002
0016_2015,2015,0,MILCO,25.0,10.0
0016_2015,2015,0,MILCO,20.0,10.5
0017_2015,2015,1,NOMBO,39.0,15.0
0017_2015,2015,1,NOMBO,51.0,63.0
0017_2015,2015,0,MILCO,56.0,49.0
0018_2015,2015,1,NOMBO,16.0,6.0
0018_2015,2015,1,NOMBO,20.5,25.5
0018_2015,2015,0,MILCO,23.0,20.0
0019_2015,2015,0,MILCO,83.0,23.0
0019_2015,2015,1,NOMBO,42.0,35.0
0020_2015,2015,0,MILCO,33.5,9.5
0020_2015,2015,1,NOMBO,17.0,14.0
0021_2015,2015,0,MILCO,56.0,49.0
0021_2015,2015,0,MILCO,55.0,30.0
0021_2015,2015,0,MILCO,64.0,28.0
0021_2015,2015,0,MILCO,40.0,24.0
0022_2015,2015,0,MILCO,28.0,33.0
0022_2015,2015,0,MILCO,45.0,12.0
0023_2015,2015,0,MILCO,81.0,24.0
0024_2015,2015,0,MILCO,33.0,10.0
0025_2015,2015,1,NOMBO,25.0,12.5
0025_2015,2015,0,MILCO,17.0,7.499999999999999
0025_2015,2015,1,NOMBO,37.5,12.5
0026_2015,2015,1,NOMBO,61.0,31.0
0026_2015,2015,0,MILCO,42.0,19.0
0026_2015,2015,1,NOMBO,92.0,31.0
0027_2015,2015,1,NOMBO,31.0,10.5
0027_2015,2015,1,NOMBO,45.0,17.5
0027_2015,2015,0,MILCO,25.0,13.500000000000002
0028_2015,2015,1,NOMBO,76.0,26.0
0028_2015,2015,1,NOMBO,111.0,43.0
0028_2015,2015,0,MILCO,62.0,33.0
0029_2015,2015,0,MILCO,25.0,13.500000000000002
0029_2015,2015,0,MILCO,13.500000000000002,13.500000000000002
0029_2015,2015,0,MILCO,21.0,10.0
0030_2015,2015,0,MILCO,62.0,33.0
0030_2015,2015,0,MILCO,33.0,33.0
0030_2015,2015,0,MILCO,52.0,25.0
0031_2015,2015,0,MILCO,55.0,35.0
0032_2015,2015,1,NOMBO,42.0,28.0
0032_2015,2015,0,MILCO,28.0,19.0
0032_2015,2015,0,MILCO,29.0,25.0
0033_2015,2015,1,NOMBO,17.0,11.5
0033_2015,2015,0,MILCO,11.5,7.499999999999999
0033_2015,2015,0,MILCO,12.0,10.0
0034_2015,2015,0,MILCO,92.0,19.0
0034_2015,2015,0,MILCO,119.0,30.0
0035_2015,2015,0,MILCO,37.5,7.499999999999999
0035_2015,2015,0,MILCO,48.5,12.0
0036_2015,2015,0,MILCO,18.5,14.0
0037_2015,2015,0,MILCO,46.0,35.0
0038_2015,2015,0,MILCO,30.0,30.0
0038_2015,2015,1,NOMBO,60.0,37.0
0038_2015,2015,0,MILCO,21.0,19.0
0038_2015,2015,0,MILCO,19.0,26.0
0038_2015,2015,0,MILCO,67.0,23.0
0039_2015,2015,0,MILCO,12.0,12.0
0039_2015,2015,1,NOMBO,36.0,27.000000000000004
0039_2015,2015,0,MILCO,7.499999999999999,10.5
0039_2015,2015,0,MILCO,29.999999999999996,7.499999999999999
0039_2015,2015,0,MILCO,27.000000000000004,9.5
0040_2015,2015,0,MILCO,30.0,30.0
0040_2015,2015,1,NOMBO,89.0,66.0
0040_2015,2015,0,MILCO,19.0,26.0
0040_2015,2015,0,MILCO,74.0,18.0
0040_2015,2015,0,MILCO,67.0,23.0
0041_2015,2015,0,MILCO,92.0,26.0
0042_2015,2015,0,MILCO,37.5,10.5
0043_2015,2015,0,MILCO,36.5,10.0
0043_2015,2015,0,MILCO,41.0,19.0
0044_2015,2015,0,MILCO,90.0,24.0
0044_2015,2015,0,MILCO,101.0,47.0
0045_2015,2015,0,MILCO,13.0,10.0
0046_2015,2015,0,MILCO,32.0,24.0
0047_2015,2015,0,MILCO,21.0,24.0
0048_2015,2015,0,MILCO,22.0,16.5
0048_2015,2015,1,NOMBO,86.0,29.0
0048_2015,2015,1,NOMBO,51.5,14.0
0048_2015,2015,1,NOMBO,31.0,13.0
0048_2015,2015,0,MILCO,23.0,13.0
0048_2015,2015,1,NOMBO,55.0,12.0
0048_2015,2015,1,NOMBO,23.0,10.5
0049_2015,2015,0,MILCO,53.0,42.0
0049_2015,2015,1,NOMBO,212.0,72.0
0049_2015,2015,1,NOMBO,127.0,35.0
0049_2015,2015,1,NOMBO,76.0,32.0
0049_2015,2015,0,MILCO,56.0,32.0
0049_2015,2015,1,NOMBO,136.0,29.0
0049_2015,2015,1,NOMBO,56.0,26.0
0050_2015,2015,0,MILCO,59.0,34.0
0050_2015,2015,1,NOMBO,77.0,64.0
0050_2015,2015,0,MILCO,59.0,26.0
0050_2015,2015,0,MILCO,47.0,36.0
0050_2015,2015,1,NOMBO,51.0,34.0
0050_2015,2015,1,NOMBO,101.0,22.0
0050_2015,2015,0,MILCO,31.0,23.0
0051_2015,2015,1,NOMBO,101.0,22.0
0051_2015,2015,1,NOMBO,82.0,67.0
0051_2015,2015,0,MILCO,46.0,18.0
0051_2015,2015,0,MILCO,91.0,24.0
0051_2015,2015,0,MILCO,91.0,24.0
0051_2015,2015,0,MILCO,71.0,27.0
0051_2015,2015,0,MILCO,107.0,22.0
0051_2015,2015,0,MILCO,58.0,30.0
0052_2015,2015,0,MILCO,46.0,36.0
0053_2015,2015,0,MILCO,46.0,36.0
0053_2015,2015,0,MILCO,103.0,28.0
0054_2015,2015,1,NOMBO,122.0,72.0
0055_2015,2015,1,NOMBO,44.0,30.0
0055_2015,2015,1,NOMBO,56.0,35.0
0055_2015,2015,1,NOMBO,39.0,41.0
0055_2015,2015,1,NOMBO,36.0,30.0
0055_2015,2015,0,MILCO,48.0,18.0
0055_2015,2015,1,NOMBO,58.0,46.0
0055_2015,2015,1,NOMBO,99.0,52.0
0055_2015,2015,0,MILCO,55.0,24.0
0055_2015,2015,0,MILCO,56.0,28.0
0055_2015,2015,0,MILCO,58.0,28.0
0055_2015,2015,1,NOMBO,46.0,40.0
0055_2015,2015,0,MILCO,39.0,16.0
0055_2015,2015,1,NOMBO,46.0,37.0
0056_2015,2015,1,NOMBO,46.0,28.0
0056_2015,2015,1,NOMBO,31.0,33.0
0056_2015,2015,1,NOMBO,51.0,33.0
0056_2015,2015,1,NOMBO,46.0,24.0
0056_2015,2015,0,MILCO,71.0,36.0
0056_2015,2015,0,MILCO,39.0,16.0
0056_2015,2015,1,NOMBO,131.0,130.0
0056_2015,2015,1,NOMBO,51.0,38.0
0056_2015,2015,0,MILCO,49.0,46.0
0057_2015,2015,1,NOMBO,18.5,11.5
0057_2015,2015,1,NOMBO,12.5,13.500000000000002
0057_2015,2015,1,NOMBO,20.5,13.500000000000002
0057_2015,2015,1,NOMBO,18.5,10.0
0057_2015,2015,0,MILCO,29.0,14.5
0057_2015,2015,0,MILCO,16.0,6.5
0057_2015,2015,1,NOMBO,53.0,53.0
0057_2015,2015,1,NOMBO,20.5,15.5
0057_2015,2015,0,MILCO,20.0,18.5
0058_2015,2015,0,MILCO,20.0,18.5
0058_2015,2015,0,MILCO,14.5,13.500000000000002
0058_2015,2015,1,NOMBO,59.5,31.499999999999996
0058_2015,2015,0,MILCO,11.0,12.5
0058_2015,2015,0,MILCO,13.500000000000002,9.0
0058_2015,2015,1,NOMBO,21.0,8.5
0058_2015,2015,0,MILCO,10.5,9.0
0058_2015,2015,1,NOMBO,37.5,19.5
0059_2015,2015,0,MILCO,49.0,46.0
0059_2015,2015,0,MILCO,36.0,33.0
0059_2015,2015,1,NOMBO,147.0,78.0
0059_2015,2015,0,MILCO,27.0,31.0
0059_2015,2015,0,MILCO,33.0,22.0
0059_2015,2015,1,NOMBO,52.0,21.0
0059_2015,2015,0,MILCO,26.0,22.0
0059_2015,2015,1,NOMBO,92.0,48.0
0060_2015,2015,0,MILCO,69.0,34.0
0060_2015,2015,1,NOMBO,36.0,32.0
0060_2015,2015,1,NOMBO,34.0,25.0
0060_2015,2015,1,NOMBO,22.0,26.0
0060_2015,2015,1,NOMBO,137.0,38.0
0060_2015,2015,1,NOMBO,72.0,40.0
0060_2015,2015,1,NOMBO,96.0,40.0
0061_2015,2015,0,MILCO,28.0,14.0
0061_2015,2015,1,NOMBO,14.5,13.0
0061_2015,2015,1,NOMBO,14.0,10.0
0061_2015,2015,1,NOMBO,9.0,10.5
0061_2015,2015,1,NOMBO,55.5,15.5
0061_2015,2015,1,NOMBO,29.0,16.0
0061_2015,2015,1,NOMBO,39.0,16.0
0062_2015,2015,1,NOMBO,37.5,16.0
0062_2015,2015,0,MILCO,23.0,21.0
0062_2015,2015,0,MILCO,29.0,16.0
0062_2015,2015,0,MILCO,39.5,14.5
0062_2015,2015,1,NOMBO,28.0,16.0
0062_2015,2015,1,NOMBO,29.0,18.0
0063_2015,2015,1,NOMBO,92.0,40.0
0063_2015,2015,0,MILCO,56.0,52.0
0063_2015,2015,0,MILCO,72.0,39.0
0063_2015,2015,0,MILCO,97.0,36.0
0063_2015,2015,1,NOMBO,69.0,40.0
0063_2015,2015,1,NOMBO,72.0,44.0
0064_2015,2015,1,NOMBO,89.0,28.0
0064_2015,2015,1,NOMBO,32.0,14.999999999999998
0064_2015,2015,0,MILCO,33.0,18.5
0064_2015,2015,1,NOMBO,39.5,9.0
0064_2015,2015,1,NOMBO,32.0,28.500000000000004
0065_2015,2015,1,NOMBO,219.0,69.0
0065_2015,2015,1,NOMBO,79.0,37.0
0065_2015,2015,0,MILCO,81.0,45.0
0065_2015,2015,1,NOMBO,97.0,22.0
0065_2015,2015,1,NOMBO,79.0,70.0
0066_2015,2015,1,NOMBO,97.0,22.0
0066_2015,2015,1,NOMBO,97.0,53.0
0066_2015,2015,1,NOMBO,94.0,63.0
0066_2015,2015,1,NOMBO,94.0,50.0
0066_2015,2015,1,NOMBO,131.0,39.0
0066_2015,2015,0,MILCO,33.0,26.0
0067_2015,2015,0,MILCO,72.0,38.0
0067_2015,2015,1,NOMBO,152.0,116.0
0067_2015,2015,0,MILCO,124.0,22.0
0068_2015,2015,1,NOMBO,49.0,30.0
0068_2015,2015,1,NOMBO,67.0,42.0
0068_2015,2015,1,NOMBO,21.0,24.0
0069_2015,2015,1,NOMBO,20.0,12.0
0069_2015,2015,1,NOMBO,27.000000000000004,17.0
0069_2015,2015,1,NOMBO,8.5,10.0
0070_2015,2015,1,NOMBO,54.0,30.0
0070_2015,2015,0,MILCO,43.0,21.0
0070_2015,2015,0,MILCO,48.0,20.0
0071_2015,2015,1,NOMBO,22.0,12.0
0071_2015,2015,0,MILCO,18.0,9.0
0071_2015,2015,0,MILCO,19.5,8.0
0072_2015,2015,1,NOMBO,25.0,17.5
0072_2015,2015,1,NOMBO,34.0,23.5
0072_2015,2015,1,NOMBO,52.5,28.500000000000004
0072_2015,2015,1,NOMBO,20.0,16.0
0073_2015,2015,1,NOMBO,62.0,43.0
0073_2015,2015,1,NOMBO,84.0,58.0
0073_2015,2015,1,NOMBO,129.0,70.0
0073_2015,2015,1,NOMBO,49.0,40.0
0074_2015,2015,1,NOMBO,44.0,34.0
0074_2015,2015,0,MILCO,124.0,38.0
0074_2015,2015,0,MILCO,44.0,22.0
0074_2015,2015,1,NOMBO,88.0,46.0
0075_2015,2015,1,NOMBO,18.0,14.0
0075_2015,2015,0,MILCO,50.5,15.5
0075_2015,2015,0,MILCO,18.0,9.0
0075_2015,2015,1,NOMBO,36.0,18.5
0076_2015,2015,0,MILCO,41.5,13.500000000000002
0076_2015,2015,0,MILCO,29.0,16.0
0076_2015,2015,1,NOMBO,36.0,18.5
0076_2015,2015,1,NOMBO,9.5,8.0
0076_2015,2015,0,MILCO,24.5,12.0
0077_2015,2015,0,MILCO,101.0,34.0
0077_2015,2015,0,MILCO,72.0,40.0
0077_2015,2015,1,NOMBO,88.0,46.0
0077_2015,2015,1,NOMBO,23.0,20.0
0077_2015,2015,0,MILCO,60.0,30.0
0078_2015,2015,0,MILCO,54.0,33.0
0078_2015,2015,0,MILCO,37.0,26.0
0078_2015,2015,0,MILCO,60.0,30.0
0078_2015,2015,0,MILCO,96.0,24.0
0079_2015,2015,0,MILCO,22.0,13.500000000000002
0079_2015,2015,0,MILCO,14.999999999999998,10.5
0079_2015,2015,0,MILCO,24.5,12.0
0079_2015,2015,0,MILCO,39.0,10.0
0080_2015,2015,0,MILCO,39.0,10.0
0080_2015,2015,0,MILCO,20.0,20.5
0081_2015,2015,0,MILCO,96.0,24.0
0081_2015,2015,0,MILCO,49.0,50.0
0082_2015,2015,0,MILCO,25.0,10.5
0082_2015,2015,0,MILCO,13.500000000000002,8.0
0082_2015,2015,0,MILCO,14.999999999999998,10.5
0083_2015,2015,0,MILCO,62.0,26.0
0083_2015,2015,0,MILCO,33.0,20.0
0083_2015,2015,0,MILCO,37.0,26.0
0084_2015,2015,0,MILCO,37.0,26.0
0084_2015,2015,0,MILCO,37.0,18.0
0085_2015,2015,0,MILCO,14.999999999999998,10.5
0085_2015,2015,0,MILCO,14.999999999999998,7.499999999999999
0086_2015,2015,0,MILCO,55.0,28.0
0086_2015,2015,0,MILCO,39.0,34.0
0086_2015,2015,0,MILCO,37.0,18.0
0087_2015,2015,0,MILCO,22.5,11.5
0087_2015,2015,0,MILCO,16.0,14.0
0087_2015,2015,0,MILCO,14.999999999999998,7.499999999999999
0088_2015,2015,0,MILCO,36.0,14.5
0088_2015,2015,1,NOMBO,14.0,12.0
0088_2015,2015,0,MILCO,13.500000000000002,19.5
0089_2015,2015,0,MILCO,88.0,36.0
0089_2015,2015,1,NOMBO,34.0,30.0
0089_2015,2015,0,MILCO,33.0,48.0
0090_2015,2015,1,NOMBO,37.0,26.0
0090_2015,2015,1,NOMBO,29.0,21.0
0090_2015,2015,0,MILCO,33.0,48.0
0090_2015,2015,1,NOMBO,38.0,33.0
0090_2015,2015,1,NOMBO,29.0,30.0
0090_2015,2015,0,MILCO,30.0,32.0
0090_2015,2015,1,NOMBO,29.0,23.0
0091_2015,2015,0,MILCO,62.0,16.0
0091_2015,2015,1,NOMBO,60.0,27.0
0091_2015,2015,0,MILCO,99.0,28.0
0092_2015,2015,0,MILCO,44.0,13.0
0093_2015,2015,0,MILCO,108.0,32.0
0094_2015,2015,0,MILCO,23.5,8.0
0095_2015,2015,0,MILCO,58.0,20.0
0096_2015,2015,0,MILCO,28.0,11.0
0097_2015,2015,0,MILCO,69.0,27.0
0098_2015,2015,0,MILCO,35.0,28.0
0099_2015,2015,0,MILCO,69.0,16.0
0100_2015,2015,1,NOMBO,10.0,10.0
0101_2015,2015,1,NOMBO,24.0,25.0
0102_2015,2015,0,MILCO,46.0,20.0
0103_2015,2015,0,MILCO,18.5,8.0
0104_2015,2015,0,MILCO,18.5,8.0
0104_2015,2015,1,NOMBO,10.0,4.5
0104_2015,2015,0,MILCO,31.0,6.5
0105_2015,2015,0,MILCO,46.0,20.0
0105_2015,2015,1,NOMBO,24.0,11.0
0105_2015,2015,0,MILCO,76.0,16.0
0106_2015,2015,0,MILCO,29.0,14.0
0106_2015,2015,1,NOMBO,20.5,12.0
0106_2015,2015,0,MILCO,20.5,11.0
0107_2015,2015,0,MILCO,71.0,35.0
0107_2015,2015,1,NOMBO,51.0,30.0
0107_2015,2015,0,MILCO,51.0,27.0
0110_2015,2015,0,MILCO,32.0,28.0
0110_2015,2015,1,NOMBO,72.0,30.0
0110_2015,2015,0,MILCO,39.0,20.0
0110_2015,2015,0,MILCO,56.0,15.0
0110_2015,2015,1,NOMBO,141.0,30.0
0110_2015,2015,1,NOMBO,98.0,35.0
0111_2015,2015,0,MILCO,13.0,11.5
0111_2015,2015,1,NOMBO,29.0,12.0
0111_2015,2015,0,MILCO,16.0,8.0
0111_2015,2015,0,MILCO,23.0,6.0
0111_2015,2015,1,NOMBO,57.5,12.0
0111_2015,2015,1,NOMBO,39.5,14.5
0112_2015,2015,0,MILCO,56.0,23.0
0112_2015,2015,0,MILCO,32.0,30.0
0112_2015,2015,0,MILCO,39.0,33.0
0112_2015,2015,0,MILCO,67.0,20.0
0113_2015,2015,0,MILCO,67.0,20.0
0113_2015,2015,0,MILCO,56.0,23.0
0113_2015,2015,1,NOMBO,19.0,25.0
0113_2015,2015,1,NOMBO,66.0,32.0
0113_2015,2015,1,NOMBO,62.0,21.0
0113_2015,2015,1,NOMBO,13.0,22.0
0113_2015,2015,0,MILCO,56.0,17.0
0113_2015,2015,1,NOMBO,96.0,40.0
0114_2015,2015,1,NOMBO,25.0,8.5
0114_2015,2015,0,MILCO,19.0,13.0
0115_2015,2015,1,NOMBO,61.0,21.0
0115_2015,2015,0,MILCO,47.0,32.0
0116_2015,2015,0,MILCO,14.0,8.0
0117_2015,2015,0,MILCO,34.0,20.0
0118_2015,2015,0,MILCO,54.0,41.0
0118_2015,2015,0,MILCO,69.0,25.0
0119_2015,2015,0,MILCO,69.0,25.0
0120_2015,2015,0,MILCO,28.0,10.0
0001_2017,2017,0,MILCO,44.0,16.0
0002_2017,2017,0,MILCO,19.5,12.0
0002_2017,2017,0,MILCO,18.0,6.5
0003_2017,2017,0,MILCO,48.0,29.0
0003_2017,2017,0,MILCO,44.0,16.0
0004_2017,2017,0,MILCO,48.0,29.0
0005_2017,2017,0,MILCO,19.5,12.0
0006_2017,2017,0,MILCO,33.0,35.0
0007_2017,2017,0,MILCO,13.500000000000002,14.0
0008_2017,2017,0,MILCO,46.0,22.0
0009_2017,2017,0,MILCO,46.0,22.0
0009_2017,2017,0,MILCO,32.0,15.0
0009_2017,2017,0,MILCO,48.0,20.0
0010_2017,2017,0,MILCO,18.5,9.0
0010_2017,2017,0,MILCO,13.0,6.0
0010_2017,2017,0,MILCO,19.5,8.0
0013_2017,2017,0,MILCO,58.0,22.0
0013_2017,2017,0,MILCO,28.0,26.0
0014_2017,2017,0,MILCO,23.5,9.0
0014_2017,2017,0,MILCO,11.5,10.5
0038_2017,2017,0,MILCO,12.0,6.5
0038_2017,2017,0,MILCO,10.5,8.5
0039_2017,2017,0,MILCO,30.0,16.0
0039_2017,2017,0,MILCO,26.0,21.0
0040_2017,2017,0,MILCO,30.0,16.0
0040_2017,2017,0,MILCO,21.0,16.0
0041_2017,2017,0,MILCO,11.5,7.0
0042_2017,2017,0,MILCO,28.0,17.0
0066_2017,2017,1,NOMBO,19.0,8.0
0067_2017,2017,1,NOMBO,47.0,20.0
0021_2018,2018,0,MILCO,53.0,31.0
0022_2018,2018,0,MILCO,21.5,12.5
0023_2018,2018,0,MILCO,53.0,31.0
0036_2018,2018,0,MILCO,46.0,35.0
0037_2018,2018,0,MILCO,18.5,14.0
0048_2018,2018,1,NOMBO,59.0,41.0
0068_2018,2018,1,NOMBO,81.0,64.0
0079_2018,2018,1,NOMBO,76.0,46.0
0079_2018,2018,0,MILCO,33.0,19.0
0080_2018,2018,1,NOMBO,31.0,18.5
0080_2018,2018,0,MILCO,13.500000000000002,7.499999999999999
0083_2018,2018,1,NOMBO,18.0,25.5
0084_2018,2018,1,NOMBO,44.0,63.0
0085_2018,2018,1,NOMBO,33.0,39.0
0107_2018,2018,0,MILCO,46.0,47.0
0117_2018,2018,1,NOMBO,14.5,18.5
0118_2018,2018,1,NOMBO,36.0,46.0
0131_2018,2018,0,MILCO,44.0,28.0
0132_2018,2018,0,MILCO,18.0,11.5
0137_2018,2018,0,MILCO,18.0,21.5
0138_2018,2018,0,MILCO,44.0,53.0
0147_2018,2018,0,MILCO,14.999999999999998,13.500000000000002
0148_2018,2018,0,MILCO,37.0,33.0
0166_2018,2018,0,MILCO,38.0,31.0
0212_2018,2018,0,MILCO,14.5,16.0
0213_2018,2018,0,MILCO,36.0,40.0
0268_2018,2018,1,NOMBO,28.0,14.0
0269_2018,2018,1,NOMBO,11.5,5.5
0270_2018,2018,0,MILCO,28.0,14.0
0275_2018,2018,0,MILCO,24.0,13.500000000000002
0276_2018,2018,0,MILCO,59.0,33.0
0282_2018,2018,0,MILCO,27.0,32.0
0285_2018,2018,1,NOMBO,107.0,115.0
0286_2018,2018,1,NOMBO,43.5,46.5
0319_2018,2018,1,NOMBO,66.0,85.0
0320_2018,2018,1,NOMBO,27.000000000000004,34.5
0324_2018,2018,1,NOMBO,31.0,66.0
0325_2018,2018,1,NOMBO,12.5,27.000000000000004
0328_2018,2018,0,MILCO,21.0,20.0
0329_2018,2018,0,MILCO,8.5,8.0
0330_2018,2018,0,MILCO,35.0,21.0
0331_2018,2018,0,MILCO,35.0,21.0
0331_2018,2018,0,MILCO,51.0,20.0
0332_2018,2018,0,MILCO,20.5,8.0
0332_2018,2018,0,MILCO,13.0,9.0
0333_2018,2018,0,MILCO,51.0,20.0
0333_2018,2018,0,MILCO,32.0,22.0
0334_2018,2018,0,MILCO,32.0,22.0
0335_2018,2018,0,MILCO,13.0,9.0
0336_2018,2018,0,MILCO,23.0,27.0
0336_2018,2018,0,MILCO,26.0,14.0
0337_2018,2018,0,MILCO,26.0,11.0
0340_2018,2018,0,MILCO,14.999999999999998,5.0
0341_2018,2018,0,MILCO,37.0,12.0
0342_2018,2018,0,MILCO,35.0,31.0
0343_2018,2018,0,MILCO,14.0,12.5
0344_2018,2018,1,NOMBO,103.0,36.0
0344_2018,2018,0,MILCO,37.0,17.0
0345_2018,2018,1,NOMBO,42.0,14.5
0345_2018,2018,0,MILCO,14.999999999999998,7.0
0358_2018,2018,0,MILCO,86.0,30.0
0358_2018,2018,0,MILCO,23.0,17.0
0358_2018,2018,0,MILCO,46.0,18.0
0359_2018,2018,0,MILCO,35.0,12.0
0359_2018,2018,0,MILCO,9.5,7.0
0359_2018,2018,0,MILCO,18.5,7.499999999999999
0362_2018,2018,0,MILCO,24.0,15.0
0363_2018,2018,0,MILCO,10.0,12.0
0364_2018,2018,0,MILCO,24.0,29.0
0365_2018,2018,1,NOMBO,51.0,315.5
0365_2018,2018,0,MILCO,13.0,6.0
0365_2018,2018,0,MILCO,56.0,10.0
0366_2018,2018,1,NOMBO,125.0,777.0
0366_2018,2018,0,MILCO,32.0,15.0
0366_2018,2018,0,MILCO,138.0,25.0
0367_2018,2018,0,MILCO,145.0,30.0
0367_2018,2018,0,MILCO,0.0048828125,0.03125
0368_2018,2018,0,MILCO,145.0,30.0
0368_2018,2018,0,MILCO,32.0,10.0
0369_2018,2018,0,MILCO,19.0,25.0
0370_2018,2018,0,MILCO,7.499999999999999,10.0
0371_2018,2018,0,MILCO,19.0,25.0
0373_2018,2018,0,MILCO,33.0,17.0
0374_2018,2018,0,MILCO,13.500000000000002,7.0
0375_2018,2018,0,MILCO,33.0,17.0
0376_2018,2018,0,MILCO,35.0,17.0
